gamma,method,group,bias,se,coverage,sd,rmse,ARE
0.0,SADA,common,0.0006867197983330131,0.02248106257824965,0.95,0.022247088116915642,0.022491548606723352,0.5381026825601366
0.0,naive,common,0.0016464047368267565,0.04176543663418898,0.948,0.04077192258353363,0.041797874895763545,1.0
0.0,ppi,yh1,0.0019943040846780447,0.06373214629959038,0.946,0.06356803773392275,0.06376334151167547,1.5255163491131998
0.0,ppi,yh2,0.0002940847198380503,0.027001803066449587,0.955,0.02670420678352815,0.027003404501317396,0.6460473066790854
0.0,ppi++,yh1,0.0015963730431077794,0.04181776408378451,0.949,0.04074686925227476,0.041848223377579825,1.001204570374495
0.0,ppi++,yh2,0.0007270645797236019,0.022480685332674992,0.949,0.022276924010026115,0.022492439528202297,0.5381239975547665
0.1,SADA,common,-0.0010049427430537938,0.022439230038693653,0.948,0.022607319180042388,0.02246172198755536,0.5522886019620257
0.1,naive,common,0.000338922803490016,0.04066884950207544,0.947,0.040756419626340974,0.040670261721424746,1.0
0.1,ppi,yh1,0.0013377559874384604,0.05817718627040207,0.94,0.057241603665740264,0.05819256476065466,1.430838216858568
0.1,ppi,yh2,-0.001512721291281105,0.024265057224757264,0.947,0.024871686336625776,0.02431216419461336,0.5977872569678085
0.1,ppi++,yh1,0.0005001525781604954,0.04050231911747992,0.944,0.040558270656411564,0.0405054071266494,0.9959465568256104
0.1,ppi++,yh2,-0.0010727454327202346,0.022381187919028458,0.949,0.02263755280245974,0.022406881876563894,0.550940193845867
0.2,SADA,common,0.000502099574538839,0.024327293518970068,0.951,0.023758655582374704,0.024332474472212543,0.6085093109626919
0.2,naive,common,0.0008030402448048202,0.039978956446231007,0.958,0.04073124971157378,0.039987020796308545,1.0
0.2,ppi,yh1,-8.782795678574651e-05,0.05066649419118192,0.954,0.05104532031588323,0.05066657031391669,1.2670753985901857
0.2,ppi,yh2,0.0004640504422737113,0.025085364401536952,0.95,0.024862085895243743,0.02508965623460935,0.6274449992765037
0.2,ppi++,yh1,0.0006611554528128671,0.03902073528255192,0.96,0.03984922952794019,0.03902633608889997,0.9759750867087038
0.2,ppi++,yh2,0.0004922152623862974,0.024299692536979552,0.95,0.023797825502436816,0.02430467718889238,0.6078141533148701
0.30000000000000004,SADA,common,-4.1814941487028356e-05,0.0269888971584198,0.943,0.025896244246176488,0.026988929551152854,0.644453810184517
0.30000000000000004,naive,common,0.0004991582930262695,0.04187578994440823,0.94,0.040763539084809425,0.04187876481547299,1.0
0.30000000000000004,ppi,yh1,-0.0011428552709830675,0.047131678296894776,0.931,0.04518099164454151,0.04714553231486941,1.1257622454387792
0.30000000000000004,ppi,yh2,-0.00013526869278690512,0.027940927477741063,0.935,0.026698930883440188,0.027941254909821675,0.6671938638337822
0.30000000000000004,ppi++,yh1,-1.1351376066170982e-05,0.0399986477289297,0.939,0.038446143284343495,0.039998649339655856,0.9551057562442128
0.30000000000000004,ppi++,yh2,1.1191460296045008e-05,0.027021056162335858,0.947,0.026027454670492268,0.027021058479950268,0.6452209992107211
0.4,SADA,common,-0.001129074959631604,0.029762428551372174,0.943,0.028471552496838554,0.029783837287025335,0.7181635354704962
0.4,naive,common,0.0005536034143053259,0.04146852646982173,0.952,0.0407789000882204,0.041472221598542754,1.0
0.4,ppi,yh1,-0.0006945278210249706,0.0403265762383007,0.947,0.0396052985616908,0.040332556576513426,0.9725197981178473
0.4,ppi,yh2,-0.0014749088930190446,0.031226218634610312,0.95,0.030050244418808002,0.03126103143626568,0.7537824170327091
0.4,ppi++,yh1,-8.40708728189754e-05,0.03686992269756751,0.94,0.03609942409675739,0.036870018546730624,0.8890292616498306
0.4,ppi++,yh2,-0.0011216504682472483,0.030493107990388738,0.95,0.029243009372783797,0.030513730265020512,0.7357630984999535
0.5,SADA,common,0.0013963181702520977,0.03001286434282347,0.948,0.029751169326122397,0.030045327931199232,0.7393271905179338
0.5,naive,common,0.0009218696836853502,0.04062828590528521,0.945,0.040763340317440916,0.04063874332844576,1.0
0.5,ppi,yh1,0.0011524707443529847,0.03494710443865927,0.951,0.03448573755047177,0.03496610211995538,0.8604129767831742
0.5,ppi,yh2,0.001501148186791812,0.03397825672196222,0.956,0.034488817641990195,0.03401140067304313,0.8369205808890328
0.5,ppi++,yh1,0.0011176701549003853,0.03338342649383151,0.948,0.03285224226598686,0.03340213093567844,0.8219282438366657
0.5,ppi++,yh2,0.001423040841650014,0.032764079071894034,0.951,0.03287667513986597,0.03279496794732888,0.8069877476839571
0.6000000000000001,SADA,common,-0.0002974409994475624,0.028202279700843488,0.955,0.028471061607342932,0.0282038481678079,0.7002683870258326
0.6000000000000001,naive,common,-0.0006232092144076717,0.04027094761527295,0.954,0.04077437516252381,0.040275769534013635,1.0
0.6000000000000001,ppi,yh1,-0.00030988674829984797,0.02969512431685463,0.959,0.030042481847320977,0.029696741201522818,0.7373351656619092
0.6000000000000001,ppi,yh2,-6.703805793278894e-05,0.039972190417126324,0.954,0.03961269444054384,0.03997224663243507,0.9924638832456762
0.6000000000000001,ppi++,yh1,-0.000455123182249384,0.02875663899584751,0.962,0.029246954197716002,0.0287602403232052,0.7140829500207723
0.6000000000000001,ppi++,yh2,-0.00028862397868478773,0.036530754698022444,0.949,0.036092148279220866,0.03653189486747383,0.9070439941966092
0.7000000000000001,SADA,common,0.0005698055910612343,0.0254575469809349,0.956,0.025928362469166508,0.025463923042180918,0.6468821794451707
0.7000000000000001,naive,common,0.000613041384839641,0.03935930789671887,0.959,0.04080489483064991,0.039364081824021284,1.0
0.7000000000000001,ppi,yh1,0.0004791478788520598,0.02621038607526906,0.956,0.026728760260673296,0.026214765322322964,0.6659564787899063
0.7000000000000001,ppi,yh2,0.001453446817081594,0.04283615555119027,0.966,0.045221121718248325,0.0428608064559669,1.0888303364365988
0.7000000000000001,ppi++,yh1,0.0005018831640317689,0.025565378161731562,0.958,0.026054636186974296,0.025570304011933054,0.6495846677244024
0.7000000000000001,ppi++,yh2,0.0009342868263899629,0.03679960073550504,0.966,0.03849896480330104,0.03681145889755728,0.9351535001406711
0.8,SADA,common,-0.0008162925933274945,0.023997483053400652,0.948,0.02375059832830839,0.02401136244564587,0.5899883620448706
0.8,naive,common,-0.0013165465913291263,0.040676727111320345,0.946,0.040722627242261285,0.040698027266883145,1.0
0.8,ppi,yh1,-0.0006577296017986067,0.025013368012162376,0.957,0.024851988009323586,0.02502201405844362,0.6148213006580928
0.8,ppi,yh2,-0.0014786256084433624,0.05167868857182429,0.939,0.05113511971862752,0.05169983739039753,1.2703278478676236
0.8,ppi++,yh1,-0.0007779924936134885,0.024040154496742527,0.95,0.02378315493640917,0.024052739980039047,0.5910050583609313
0.8,ppi++,yh2,-0.001348131918418649,0.039903616673681794,0.941,0.039862712649885515,0.03992638329863594,0.9810397697365761
0.9,SADA,common,-0.0006930518601080404,0.022212368772244157,0.955,0.022607717659398417,0.022223178156037148,0.539201313010842
0.9,naive,common,-0.0004529755197434926,0.041212503355676576,0.954,0.04077300692080457,0.04121499265635189,1.0
0.9,ppi,yh1,-0.0008496348610973481,0.0251226711423335,0.94,0.02487919853139963,0.025137034127419015,0.6099002452095548
0.9,ppi,yh2,-0.00012628686911103637,0.05657594546960982,0.959,0.05730829511405022,0.0565760864160254,1.3727064538808336
0.9,ppi++,yh1,-0.0007293998820657732,0.022170092018261423,0.953,0.02263688683939562,0.022182087464576828,0.5382043289326709
0.9,ppi++,yh2,-0.0003890937029041863,0.04089213892929787,0.949,0.0405786823010139,0.0408939900244845,0.9922115082114927
1.0,SADA,common,0.0002566546532307701,0.02294173666371624,0.943,0.022293626114185703,0.02294317224706137,0.5814105617910456
1.0,naive,common,-0.0008540937745731836,0.03945197967951349,0.952,0.040705557458591245,0.03946122371149317,1.0
1.0,ppi,yh1,0.0007290090332633392,0.027693844572300574,0.937,0.026706872885467445,0.027703438078428486,0.7020420421062563
1.0,ppi,yh2,0.0024159448752428814,0.06281327160206626,0.954,0.06351076417696618,0.0628597158679162,1.5929489751127046
1.0,ppi++,yh1,0.00022133679738023382,0.022906933568440105,0.943,0.02232598946578808,0.022908002869888127,0.5805193229021968
1.0,ppi++,yh2,-0.0008367192761370434,0.039461917173144255,0.952,0.040680322921976965,0.039470786743199794,1.0002423399683837
